item,itemLabel,coord,elevation,nativeLabel,kanaQualifier,wikipedia_url
http://www.wikidata.org/entity/Q10980884,尾張富士,Point(136.984444444 35.344444444),275.04,,,https://ja.wikipedia.org/wiki/%E5%B0%BE%E5%BC%B5%E5%AF%8C%E5%A3%AB
http://www.wikidata.org/entity/Q10980884,尾張富士,Point(136.98388889 35.34444444),275.04,,,https://ja.wikipedia.org/wiki/%E5%B0%BE%E5%BC%B5%E5%AF%8C%E5%A3%AB
http://www.wikidata.org/entity/Q109939866,御殿山,Point(139.947888888 35.088805555),363.7,,,https://ja.wikipedia.org/wiki/%E5%BE%A1%E6%AE%BF%E5%B1%B1_(%E5%8D%83%E8%91%89%E7%9C%8C)
http://www.wikidata.org/entity/Q110584231,甘南備山,Point(135.744166666 34.808888888),313,,,https://ja.wikipedia.org/wiki/%E7%94%98%E5%8D%97%E5%82%99%E5%B1%B1
http://www.wikidata.org/entity/Q110584701,サンドイッチ山,Point(135.718055555 34.788611111),313,,,https://ja.wikipedia.org/wiki/%E3%82%B5%E3%83%B3%E3%83%89%E3%82%A4%E3%83%83%E3%83%81%E5%B1%B1
http://www.wikidata.org/entity/Q11065854,弁天山,Point(134.54189 34.02394),6.1,,,https://ja.wikipedia.org/wiki/%E5%BC%81%E5%A4%A9%E5%B1%B1_(%E5%BE%B3%E5%B3%B6%E5%B8%82)
http://www.wikidata.org/entity/Q110800617,八石山,Point(133.854444444 33.996111111),841.2,,,https://ja.wikipedia.org/wiki/%E5%85%AB%E7%9F%B3%E5%B1%B1_(%E5%BE%B3%E5%B3%B6%E7%9C%8C)
http://www.wikidata.org/entity/Q1109030,谷川岳,Point(138.929722222 36.837222222),1977,,,https://ja.wikipedia.org/wiki/%E8%B0%B7%E5%B7%9D%E5%B2%B3
http://www.wikidata.org/entity/Q1109050,剱岳,Point(137.61732 36.62352),2999,,,https://ja.wikipedia.org/wiki/%E5%89%B1%E5%B2%B3
http://www.wikidata.org/entity/Q1109050,剱岳,Point(137.61722222 36.62333333),2999,,,https://ja.wikipedia.org/wiki/%E5%89%B1%E5%B2%B3
http://www.wikidata.org/entity/Q1109050,剱岳,Point(137.61732 36.62352),2938,,,https://ja.wikipedia.org/wiki/%E5%89%B1%E5%B2%B3
